question,correct_answer,possible_answers,type
Who is the mother of George VI?,Mary of Teck,"[""Mary of Teck"", ""Victoria Mary Augusta Louise Olga Pauline Claudine Agnes"", ""Queen Mary of the United Kingdom"", ""Mary, Queen of the United Kingdom"", ""Mary, Queen consort of the United Kingdom"", ""Princess Victoria Mary of Teck"", ""Princess Victoria Mary Augusta Louise Olga Pauline Claudine Agnes of Teck"", ""Victoria Mary of Teck"", ""Victoria Mary Augusta Louise Olga Pauline Claudine Agnes of Teck"", ""Princess May of Teck"", ""May of Teck"", ""Mary, Queen of the United Kingdom, Empress of India""]",mother
What is Kekko Fornarelli's occupation?,composer,"[""composer"", ""pianist""]",occupation
What is Milan the capital of?,Lombardy,"[""Lombardy"", ""Lombardia"", ""province of Milan"", ""Milan province"", ""Milano province"", ""provincia di Milano"", ""Western Roman Empire (395-476 AD)"", ""Roman Empire"", ""Golden Ambrosian Republic"", ""Repubblica Ambrosiana"", ""Aurea Repubblica Ambrosiana""]",capital of
In what city was Masaru Inada born?,Sapporo,"[""Sapporo""]",place of birth
What is the capital of United States of America?,"Washington, D.C.","[""Washington, D.C."", ""Washington"", ""Washington DC"", ""Washington, DC"", ""DC"", ""D.C."", ""District of Columbia"", ""Washington, District of Columbia"", ""Washington D.C."", ""The District""]",capital
Who was the screenwriter for Success?,Franz Seitz Jr.,"[""Franz Seitz Jr."", ""Franz Seitz junior""]",screenwriter
Who is the author of Take a Good Look?,Jacqueline Wilson,"[""Jacqueline Wilson"", ""Dame Jacqueline Wilson""]",author
Who was the screenwriter for Star?,Biddu,"[""Biddu"", ""Biddu Appaiah""]",screenwriter
Who was the producer of The Union?,Cameron Crowe,"[""Cameron Crowe"", ""Cameron Bruce Crowe""]",producer
Who was the director of La Zizanie?,Claude Zidi,"[""Claude Zidi""]",director
What sport does Angus Macdonald play?,rugby union,"[""rugby union"", ""rugby""]",sport
"Who is the father of Richard Grosvenor, 2nd Marquess of Westminster?","Robert Grosvenor, 1st Marquess of Westminster","[""Robert Grosvenor, 1st Marquess of Westminster"", ""Viscount Belgrave"", ""Earl Grosvenor"", ""Sir Robert Grosvenor, 8th Bt."", ""Lord Grosvenor""]",father
What genre is Martin?,horror film,"[""horror film"", ""horror movie""]",genre
Who is the mother of Julie Manet?,Berthe Morisot,"[""Berthe Morisot"", ""Berthe Marie Pauline Morisot"", ""Berthe Manet"", ""Berthe Manet Morisot"", ""Berthe-Marie-Pauline Morisot"", ""Berthe Marie Pauline Morisot Manet"", ""Berthe Manet-Morisot"", ""Berthe Marie Pauline Morizot"", ""B. Morisot"", ""Morisot"", ""Bertha Morisot""]",mother
What is the capital of County Cork?,Cork,"[""Cork"", ""Corcaigh""]",capital
What is the religion of Ruth Hurmence Green?,atheism,"[""atheism"", ""unbelief""]",religion
Who was the producer of Broken?,Trent Reznor,"[""Trent Reznor"", ""Michael Trent Reznor""]",producer
Who was the director of Walking and Talking?,Nicole Holofcener,"[""Nicole Holofcener""]",director
Who was the director of Burning Man?,Jonathan Teplitzky,"[""Jonathan Teplitzky""]",director
What sport does Louis Perrée play?,fencing,"[""fencing""]",sport
Who was the director of Uncommon Valor?,Ted Kotcheff,"[""Ted Kotcheff"", ""William Theodore Kotcheff""]",director
What genre is Mystery Date?,teen film,"[""teen film"", ""teen movie"", ""comedy film"", ""comedy movie""]",genre
Who is the author of Counter-Revolutionary Violence: Bloodbaths in Fact & Propaganda?,Noam Chomsky,"[""Noam Chomsky"", ""Avram Noam Chomsky"", ""A. Noam Chomsky"", ""Chomsky""]",author
What is the religion of Juan Soldevilla y Romero?,Catholic Church,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]",religion
In what country is Robinson?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
Who was the director of The Good Earth?,Victor Fleming,"[""Victor Fleming"", ""Victor Lonzo Fleming"", ""Sidney Franklin"", ""Sidney Arnold Franklin"", ""Sidney A. Franklin""]",director
Who was the screenwriter for The Second Coming?,Tim Kring,"[""Tim Kring"", ""Richard Timothy \""Tim\"" Kring"", ""Richard Timothy Kring""]",screenwriter
What genre is New Watch?,fantasy,"[""fantasy"", ""fantasy fiction""]",genre
What genre is Lou Christie?,pop music,"[""pop music"", ""pop""]",genre
Who was the producer of The Terminal?,Steven Spielberg,"[""Steven Spielberg"", ""Steven Allan Spielberg"", ""Spielberg""]",producer
What is Robert Voisey's occupation?,composer,"[""composer""]",occupation
Who was the producer of All Because of You?,Butch Walker,"[""Butch Walker""]",producer
Who was the screenwriter for The Company?,Neve Campbell,"[""Neve Campbell"", ""Neve Adrianne Campbell""]",screenwriter
What genre is Raphael Saadiq?,soul music,"[""soul music"", ""soul""]",genre
What sport does Stade d'Abidjan play?,association football,"[""association football"", ""football"", ""soccer""]",sport
Who was the screenwriter for Spiral?,Joel David Moore,"[""Joel David Moore""]",screenwriter
In what country is T-33?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
What is Shirley Palmer's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
Who is the author of The Mystery of the Missing Necklace?,Enid Blyton,"[""Enid Blyton"", ""Enid Mary Blyton"", ""Mary Pollock""]",author
Who is the author of Greed?,Elfriede Jelinek,"[""Elfriede Jelinek""]",author
Who was the director of 1870?,Alfredo Giannetti,"[""Alfredo Giannetti""]",director
Who was the director of La Rival?,Chano Urueta,"[""Chano Urueta"", ""Santiago Eduardo Urueta Sierra""]",director
What genre is Wired?,biographical film,"[""biographical film"", ""biopic"", ""biography film"", ""biography movie"", ""biographical movie"", ""biographical picture""]",genre
Who was the screenwriter for Get Real?,Patrick Wilde,"[""Patrick Wilde""]",screenwriter
Who was the director of The Road?,Darezhan Omirbaev,"[""Darezhan Omirbaev""]",director
What genre is Egg?,progressive rock,"[""progressive rock"", ""prog-rock"", ""prog"", ""classical rock"", ""symphonic rock"", ""art rock"", ""progressive pop"", ""prog rock""]",genre
Who is the author of Close to Home?,Deborah Moggach,"[""Deborah Moggach"", ""Deborah Hough""]",author
In what country is Barre Denis?,Saint Lucia,"[""Saint Lucia"", ""lc"", ""St. Lucia"", ""St Lucia"", ""🇱🇨"", ""Iyonola"", ""Hewanorra"", ""St. Lucia (island)""]",country
Who is the father of Anubis?,Osiris,"[""Osiris""]",father
Who was the screenwriter for The Super?,Sam Simon,"[""Sam Simon"", ""Samuel Michael Simon""]",screenwriter
Who was the producer of Orchestral Favorites?,Frank Zappa,"[""Frank Zappa"", ""Frank Vincent Zappa""]",producer
Who was the producer of The Net 2.0?,Rob Cowan,"[""Rob Cowan""]",producer
What is the religion of Titus Brandsma?,Catholic Church,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]",religion
What is Pierre Pansu's occupation?,mathematician,"[""mathematician""]",occupation
What is Ajay Kumar Parida's occupation?,biologist,"[""biologist"", ""biologists""]",occupation
Who was the composer of Lovely?,Anoop Rubens,"[""Anoop Rubens"", ""Anup Rubens"", ""Anup"", ""Enoch Rubens""]",composer
What genre is The Unknown?,mystery film,"[""mystery film""]",genre
In what country is East New Britain Province?,Papua New Guinea,"[""Papua New Guinea"", ""Independent State of Papua New Guinea"", ""PNG"", ""pg"", ""🇵🇬""]",country
Who was the composer of Darling?,Pritam Chakraborty,"[""Pritam Chakraborty"", ""Pritam""]",composer
Who was the composer of Not Guilty?,George Harrison,"[""George Harrison"", ""The Quiet Beatle"", ""Nelson Wilbury"", ""00013482508 IPI""]",composer
Who was the director of We Are Both?,Dean White,"[""Dean White""]",director
Who was the producer of Hero?,Laura Ziskin,"[""Laura Ziskin"", ""Laura Ellen Ziskin""]",producer
Who is the author of Silver?,Andrew Motion,"[""Andrew Motion"", ""Sir Andrew Motion""]",author
Who is the author of Gospel of Luke?,Luke the Evangelist,"[""Luke the Evangelist"", ""Saint Luke"", ""Luke"", ""Lukas"", ""Lucanus""]",author
In what country is Ortiz Mountains?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
What is Prochowice the capital of?,Gmina Prochowice,"[""Gmina Prochowice"", ""Prochowice""]",capital of
Who was the screenwriter for Doore Doore Oru Koodu Koottam?,Sreenivasan,"[""Sreenivasan""]",screenwriter
Who was the producer of Monster?,Charlize Theron,"[""Charlize Theron""]",producer
What genre is Der Schuh des Manitu?,Western film,"[""Western film"", ""western genre"", ""Western""]",genre
Who was the composer of Nerone?,Arturo Toscanini,"[""Arturo Toscanini"", ""Arrigo Boito"", ""Tobia Gorrio"", ""Arrigo Enrico Boito"", ""Enrico Giuseppe Giovanni Boito"", ""Vincenzo Tommasini""]",composer
Who was the producer of The Jacket?,Steven Soderbergh,"[""Steven Soderbergh"", ""Steven Andrew Soderbergh"", ""Peter Andrews"", ""Mary Ann Bernard"", ""Marc Rocco"", ""George Clooney"", ""George Timothy Clooney""]",producer
Who was the screenwriter for Three Times?,Hou Hsiao-Hsien,"[""Hou Hsiao-Hsien"", ""Hou Xiaoxian"", ""Hou Hsiao Hsen""]",screenwriter
What genre is So Fine?,comedy film,"[""comedy film"", ""comedy movie""]",genre
Who is the author of Crazy?,William Peter Blatty,"[""William Peter Blatty""]",author
Who was the screenwriter for Simon?,Marshall Brickman,"[""Marshall Brickman""]",screenwriter
Who was the director of The Wacky World of Mother Goose?,Jules Bass,"[""Jules Bass""]",director
"Who is the mother of Elizabeth Stewart, Countess of Crawford?",Euphemia de Ross,"[""Euphemia de Ross"", ""Euphémie de Ross"", ""Euphemia of Ross"", ""Euphemie de Ross""]",mother
In what country is Jam Filled Entertainment?,Canada,"[""Canada"", ""Dominion of Canada"", ""British North America"", ""CAN"", ""CA"", ""Can.""]",country
Who was the producer of Fire?,Deepa Mehta,"[""Deepa Mehta""]",producer
Who was the screenwriter for The Betrayal?,Oscar Micheaux,"[""Oscar Micheaux"", ""Oscar Devereaux Micheaux""]",screenwriter
What genre is Chicago?,satire,"[""satire""]",genre
Who was the producer of Butterfly?,Matt Cimber,"[""Matt Cimber""]",producer
Who is the author of Magic?,William Goldman,"[""William Goldman"", ""S. Morgenstern"", ""Harry Longbaugh""]",author
What genre is Needle?,horror film,"[""horror film"", ""horror movie""]",genre
Who was the director of Hum Ek Hain?,Syed Noor,"[""Syed Noor"", ""Syed Ghulam Mohyuddin Noor""]",director
Who is the author of Orbiter?,Colleen Doran,"[""Colleen Doran"", ""Warren Ellis"", ""Warren Girard Ellis""]",author
Who was the producer of Now Look?,Ronnie Wood,"[""Ronnie Wood"", ""Ronald David Wood"", ""Ronald Wood"", ""Ron Wood"", ""Ronald \""Ron\"" David Wood""]",producer
Who is the mother of Paula Weinstein?,Hannah Weinstein,"[""Hannah Weinstein""]",mother
Who is the author of Blood Test?,Jonathan Kellerman,"[""Jonathan Kellerman"", ""Jonathan Seth Kellerman""]",author
Who was the screenwriter for Elizabeth?,Michael Hirst,"[""Michael Hirst""]",screenwriter
What sport does Bennie Osler play?,rugby union,"[""rugby union"", ""rugby""]",sport
Who was the screenwriter for The Key?,Jan de Hartog,"[""Jan de Hartog"", ""F.R. Eckmar""]",screenwriter
What sport does Syarhey Ignatovich play?,association football,"[""association football"", ""football"", ""soccer""]",sport
In what city was Juha Jokela born?,Tampere,"[""Tampere"", ""Tammerfors""]",place of birth
Who was the director of Postal?,Uwe Boll,"[""Uwe Boll""]",director
In what city was Zara Turner born?,Belfast,"[""Belfast"", ""Béal Feirste"", ""Beal Feirste"", ""Belfast, Ireland""]",place of birth
What is the capital of Sal?,Espargos,"[""Espargos""]",capital
Who is the author of The Lab?,Jack Heath,"[""Jack Heath""]",author
Who was the screenwriter for Puzzle?,Ernesto Gastaldi,"[""Ernesto Gastaldi""]",screenwriter
In what city was H. Hugh Bancroft born?,Cleethorpes,"[""Cleethorpes""]",place of birth
Who was the producer of Numb?,Brian Eno,"[""Brian Eno"", ""Eno"", ""Brian Peter George Eno"", ""Brian Peter George St John le Baptiste de la Salle Eno"", ""The Edge"", ""David Evans"", ""David Howell Evans"", ""Dave Evans""]",producer
Who was the producer of (I Can't Make It) Another Day?,Lenny Kravitz,"[""Lenny Kravitz"", ""Leonard Albert Kravitz"", ""Leonard A. Kravitz""]",producer
Who was the screenwriter for The Cow?,Dariush Mehrjui,"[""Dariush Mehrjui""]",screenwriter
What genre is Umbrella?,documentary film,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]",genre
Who was the screenwriter for Haircut?,Joaquim Sapinho,"[""Joaquim Sapinho""]",screenwriter
What genre is El Aura?,neo-noir,"[""neo-noir"", ""new-black""]",genre
Who was the director of The Last Word?,Binka Zhelyazkova,"[""Binka Zhelyazkova""]",director
What genre is Thin Ice?,documentary film,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]",genre
Who was the composer of Part of Me?,Bonnie McKee,"[""Bonnie McKee"", ""Bonnie Leigh McKee"", ""Max Martin"", ""Karl Martin Sandberg"", ""Martin White"", ""Katy Perry"", ""Katheryn Elizabeth Hudson Perry"", ""Katheryn Elizabeth Hudson"", ""Katheryn Hudson"", ""Katy Hudson"", ""Katheryn Perry""]",composer
Who was the director of In the Bedroom?,Todd Field,"[""Todd Field"", ""William Todd Field""]",director
In what city was Mikael Eriksson born?,Karlskoga,"[""Karlskoga""]",place of birth
What genre is Pulse?,music video game,"[""music video game"", ""music game"", ""music and rhythm video games""]",genre
Who was the screenwriter for Forty Guns?,Samuel Fuller,"[""Samuel Fuller"", ""Samuel Michael Fuller"", ""Sam Fuller""]",screenwriter
Who was the producer of Apostrophe (')?,Frank Zappa,"[""Frank Zappa"", ""Frank Vincent Zappa""]",producer
In what country is University of Burgundy?,France,"[""France"", ""fr"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",country
Who is the author of Ang Singsing ng Dalagang Marmol?,Isabelo de los Reyes,"[""Isabelo de los Reyes"", ""Isabelo de los Reyes Sr."", ""Isabelo de los Reyes, Sr."", ""Isabelo de los Reyes y Florentino""]",author
Who was the director of I Do?,Brad Falchuk,"[""Brad Falchuk"", ""Bradley Douglas Falchuk""]",director
Who was the composer of Memory?,Andrew Lloyd Webber,"[""Andrew Lloyd Webber"", ""Baron Lloyd-Webber"", ""Sir Andrew Lloyd Webber"", ""Andrew Lloyd Webber, Baron Lloyd-Webber"", ""The Rt Hon. The Lord Lloyd-Webber"", ""The Lord Lloyd-Webber"", ""Lord Lloyd-Webber""]",composer
What is Yannis Ritsos's occupation?,poet,"[""poet"", ""poetess"", ""bard""]",occupation
What genre is Reach?,country music,"[""country music"", ""country and western"", ""country & western"", ""country"", ""Nashville sound""]",genre
Who is the author of Ente Katha?,Kamala Surayya,"[""Kamala Surayya"", ""Madhavikutty"", ""Kamala Das""]",author
Who is the author of Getting Free?,Nigel Hinton,"[""Nigel Hinton""]",author
What genre is Crusader Kings?,wargame,"[""wargame"", ""war game"", ""conflict simulation"", ""consim"", ""wargaming"", ""wargames"", ""war games"", ""real-time strategy"", ""RTS"", ""real time strategy"", ""grand strategy wargame""]",genre
In what country is Călmuș River?,Romania,"[""Romania"", ""Roumania"", ""Rumania"", ""România"", ""ro"", ""🇷🇴""]",country
What genre is GeneRally?,racing video game,"[""racing video game"", ""racing game"", ""racing video games"", ""racer""]",genre
What is the religion of Girolamo Maria Gotti?,Catholic Church,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]",religion
Who was the producer of Because They Can?,Gunnar Nelson,"[""Gunnar Nelson"", ""Matthew Nelson""]",producer
In what city was Gabriella Di Laccio born?,Porto Alegre,"[""Porto Alegre""]",place of birth
Who was the director of Oliver's Story?,John Korty,"[""John Korty""]",director
In what country is Christine?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
Who is the author of What Remains?,Christa Wolf,"[""Christa Wolf""]",author
Who was the composer of Ghosttown?,Sean Douglas,"[""Sean Douglas"", ""Sean Maxwell Douglas"", ""Xian Douglas"", ""Jason Evigan"", ""Jason Gregory Evigan"", ""E. Kidd Bogart"", ""Evan Bogart"", ""Evan Kidd Bogart"", ""Evan K. Bogart""]",composer
