question,correct_answer,possible_answers,type
Who was the producer of Avatar?,James Cameron,"[""James Cameron"", ""James Francis Cameron"", ""Jim Cameron""]",producer
Who was the producer of Expectations?,George Avakian,"[""George Avakian"", ""George Mesrop Avakian""]",producer
Who was the producer of The Odd Life of Timothy Green?,Ahmet Zappa,"[""Ahmet Zappa"", ""Ahmet Emuukha Rodan Zappa""]",producer
Who was the producer of The Fall?,Tarsem Singh,"[""Tarsem Singh"", ""Tarsem Dhandwar Singh"", ""Tarsem Singh Dhandwar""]",producer
Who was the producer of 3 Minutes?,Don Le,"[""Don Le"", ""Don Pham Le"", ""George Wang""]",producer
Who was the producer of Mother and Child?,Carl Froelich,"[""Carl Froelich"", ""Carl August Hugo Froelich""]",producer
Who was the producer of Monster?,Charlize Theron,"[""Charlize Theron""]",producer
Who was the producer of Fear?,John Cale,"[""John Cale"", ""John Davies Cale"", ""00033982178 IPI""]",producer
Who was the producer of Baby?,Tricky Stewart,"[""Tricky Stewart"", ""Christopher Stewart"", ""Christopher \""Tricky\"" Stewart"", ""The-Dream"", ""Terius Youngdell Nash""]",producer
Who was the producer of Onaayum Aattukkuttiyum?,Mysskin,"[""Mysskin"", ""Myshkin""]",producer
Who was the producer of Super?,Akkineni Nagarjuna,"[""Akkineni Nagarjuna"", ""Nagarjuna Akkineni"", ""Nagarjuna"", ""Akkineni Nagarjuna Rao""]",producer
Who was the producer of Made?,Vince Vaughn,"[""Vince Vaughn"", ""Vincent Anthony Vaughn"", ""Vincent Vaughn"", ""Jon Favreau"", ""Jonathan Favreau"", ""Jonathan Kolia Favreau""]",producer
Who was the producer of E.T. the Extra-Terrestrial?,Melissa Mathison,"[""Melissa Mathison"", ""Melissa Marie Mathison"", ""Steven Spielberg"", ""Steven Allan Spielberg"", ""Spielberg""]",producer
Who was the producer of Dream?,Kim Ki-duk,"[""Kim Ki-duk"", ""Ki-duk Kim"", ""Kim Gi-deok""]",producer
Who was the producer of Peter Gabriel?,Bob Ezrin,"[""Bob Ezrin"", ""Robert Alan Ezrin"", ""00042476488 IPI"", ""00042476586 IPI""]",producer
Who was the producer of Vinyl?,Andy Warhol,"[""Andy Warhol"", ""Andrew Warhola"", ""Andrew Warhol"", ""Drella"", ""Andrej Varchol"", ""Andrej Warhol""]",producer
"Who was the producer of ""Them""?",King Diamond,"[""King Diamond"", ""Kim Bendix Petersen""]",producer
Who was the producer of Pixels?,Adam Sandler,"[""Adam Sandler"", ""Adam Richard Sandler"", ""Adam R. Sandler"", ""Chris Columbus"", ""Chris Joseph Columbus""]",producer
Who was the producer of Seed?,Uwe Boll,"[""Uwe Boll""]",producer
Who was the producer of The Lover?,Claude Berri,"[""Claude Berri""]",producer
Who was the producer of It?,Elinor Glyn,"[""Elinor Glyn"", ""Elinor Sutherland""]",producer
Who was the producer of The Turning Point?,Nora Kaye,"[""Nora Kaye"", ""Nora Koreff"", ""Arthur Laurents"", ""Herbert Ross"", ""Herbert David Ross""]",producer
Who was the producer of Chrome?,Dann Huff,"[""Dann Huff"", ""Dann Lee Huff"", ""Trey Bruce""]",producer
Who was the producer of Linger?,Johnnie To,"[""Johnnie To"", ""Johnnie To Kei-fung""]",producer
Who was the producer of The Missing?,Ron Howard,"[""Ron Howard"", ""Ronald William Howard""]",producer
Who was the producer of Friends?,Lewis Gilbert,"[""Lewis Gilbert""]",producer
Who was the producer of Inteha?,Mukesh Bhatt,"[""Mukesh Bhatt""]",producer
Who was the producer of Amore e non amore?,Lucio Battisti,"[""Lucio Battisti""]",producer
Who was the producer of Bean?,Rowan Atkinson,"[""Rowan Atkinson"", ""Mr Bean"", ""Rowan Sebastian Atkinson""]",producer
Who was the producer of Them or Us?,Frank Zappa,"[""Frank Zappa"", ""Frank Vincent Zappa""]",producer
Who was the producer of Aria?,Don Boyd,"[""Don Boyd"", ""Donald William Robertson Boyd""]",producer
Who was the producer of Police?,Catherine Breillat,"[""Catherine Breillat""]",producer
Who was the producer of Off the Wall?,Quincy Jones,"[""Quincy Jones"", ""Q"", ""Quincy"", ""Quincy Delight Jones Jr."", ""Quincy Delight Jones Jr"", ""Quincy Jones Jr."", ""Michael Jackson"", ""MJ"", ""The King of Pop"", ""Michael Joe Jackson"", ""Michael Joseph Jackson"", ""M.J."", ""M. J."", ""King of Pop"", ""King of Music"", ""The King""]",producer
Who was the producer of Shelter?,Jamie xx,"[""Jamie xx"", ""Jamie Smith""]",producer
Who was the producer of Pale Rider?,Clint Eastwood,"[""Clint Eastwood"", ""Clinton Eastwood Jr."", ""Clinton Eastwood"", ""Clinton \""Clint\"" Eastwood, Jr.""]",producer
Who was the producer of Faces?,John Cassavetes,"[""John Cassavetes"", ""John Nicholas Cassavetes""]",producer
Who was the producer of Airport?,Anubhav Sinha,"[""Anubhav Sinha"", ""Anupam Sinha""]",producer
Who was the producer of The Last Hangman?,Christine Langan,"[""Christine Langan""]",producer
Who was the producer of Loose?,Timbaland,"[""Timbaland"", ""Timothy Mosley"", ""Timothy Zachery Mosley"", ""DJ Timmy Tim"", ""Timbo"", ""Timar"", ""DJ Tim"", ""Tim Mosley""]",producer
Who was the producer of Dennis the Menace?,John Hughes,"[""John Hughes"", ""John Hughes, Jr.""]",producer
Who was the producer of One Touch?,Cameron McVey,"[""Cameron McVey"", ""Cameron Andrew McVey""]",producer
Who was the producer of Rendu?,Khushbu,"[""Khushbu"", ""Khushboo"", ""Kushboo"", ""Khushbu Sundar"", ""Kushboo Sundar"", ""Khushboo Sundar"", ""Nakhat Khan""]",producer
Who was the producer of Cocktails?,Ant Banks,"[""Ant Banks"", ""Anthony Banks""]",producer
Who was the producer of The Slim Shady LP?,Dr. Dre,"[""Dr. Dre"", ""Andre Romelle Young"", ""The Mechanic"", ""Brickhard""]",producer
Who was the producer of Fiction?,Dark Tranquillity,"[""Dark Tranquillity""]",producer
Who was the producer of Drama?,Trevor Horn,"[""Trevor Horn"", ""Trevor Charles Horn""]",producer
Who was the producer of The Metro?,Dileep (Gopalakrishnan P Pillai),"[""Dileep (Gopalakrishnan P Pillai)""]",producer
Who was the producer of Aliens?,David Giler,"[""David Giler"", ""Gale Anne Hurd"", ""Valhalla Motion Pictures"", ""Walter Hill""]",producer
Who was the producer of The Passage?,Stephen Dorff,"[""Stephen Dorff""]",producer
Who was the producer of What Just Happened?,Barry Levinson,"[""Barry Levinson"", ""Robert De Niro"", ""Robert Jr. De Niro"", ""Jr. Robert De Niro"", ""Robert Anthony De Niro"", ""De Niro"", ""Art Linson""]",producer
Who was the producer of Public Toilet?,Fruit Chan,"[""Fruit Chan"", ""Fruit Chan Gor""]",producer
Who was the producer of The Miracle?,Joseph Menchen,"[""Joseph Menchen"", ""Max Reinhardt""]",producer
Who was the producer of The Debut?,Lisa Onodera,"[""Lisa Onodera""]",producer
Who was the producer of 45 Minutes from Hollywood?,Hal Roach,"[""Hal Roach""]",producer
Who was the producer of BE?,Dave Sitek,"[""Dave Sitek"", ""David Andrew Sitek""]",producer
Who was the producer of Titanic?,James Cameron,"[""James Cameron"", ""James Francis Cameron"", ""Jim Cameron""]",producer
Who was the producer of LOL (Laughing Out Loud)?,Lisa Azuelos,"[""Lisa Azuelos"", ""Lisa Alessandrin"", ""Elise-Anne Bethsabée Azuelos""]",producer
Who was the producer of The Secret Game?,Jesse Louis Lasky,"[""Jesse Louis Lasky"", ""Jesse L. Lasky"", ""Jesse Lasky"", ""Jesse Louis Lasky Sr.""]",producer
Who was the producer of Game of Thrones?,David Benioff,"[""David Benioff"", ""David Friedman""]",producer
Who was the producer of Here Today?,George Martin,"[""George Martin"", ""Sir George Henry Martin"", ""Sir George Martin""]",producer
Who was the producer of The Train?,Rajendra Kumar,"[""Rajendra Kumar""]",producer
Who was the producer of Idiocracy?,Mike Judge,"[""Mike Judge"", ""Judgemental Films"", ""Michael Judge"", ""Michael Craig Judge"", ""Michael C. Judge""]",producer
Who was the producer of Baba?,Rajinikanth,"[""Rajinikanth"", ""Rajanikanth"", ""Sivaji Rao Gaikwad""]",producer
Who was the producer of Kes?,Tony Garnett,"[""Tony Garnett""]",producer
Who was the producer of The Touch?,Ingmar Bergman,"[""Ingmar Bergman"", ""Ernst Ingmar Bergman""]",producer
Who was the producer of Little Man?,Marlon Wayans,"[""Marlon Wayans"", ""Marlon Lamont Wayans"", ""Keenen Ivory Wayans"", ""Keenen Ivory Desuma Wayans Sr."", ""Keenen Ivory Desuma Wayans"", ""Shawn Wayans nemo"", ""Shawn Mathis Wayans amigo"", ""Shawn Mathis Wayans""]",producer
Who was the producer of Buffalo?,Frank Zappa,"[""Frank Zappa"", ""Frank Vincent Zappa""]",producer
Who was the producer of Swamp Water?,20th Century Studios,"[""20th Century Studios"", ""Twentieth Century-Fox Film Corporation"", ""20th Century Fox Pictures"", ""Twentieth Century Fox"", ""Twentieth (20th) Century Fox Film Corporation"", ""20th Century Fox"", ""Twentieth Century Fox Film Corporation"", ""Twentieth Century Studios""]",producer
Who was the producer of The Pointer?,Walt Disney,"[""Walt Disney"", ""Walter Elias Disney"", ""W. Disney"", ""Walter E. Disney""]",producer
Who was the producer of Police Squad!?,Jim Abrahams,"[""Jim Abrahams"", ""James S. Abrahams""]",producer
Who was the producer of Take It Off?,Dr. Luke,"[""Dr. Luke"", ""Made In China"", ""Richard Head"", ""Kasz"", ""Lukasz Sebastian Gottwald""]",producer
Who was the producer of Peter Gabriel?,Robert Fripp,"[""Robert Fripp""]",producer
Who was the producer of The Jacket?,Steven Soderbergh,"[""Steven Soderbergh"", ""Steven Andrew Soderbergh"", ""Peter Andrews"", ""Mary Ann Bernard"", ""Marc Rocco"", ""George Clooney"", ""George Timothy Clooney""]",producer
Who was the producer of Clue?,Debra Hill,"[""Debra Hill"", ""John Landis""]",producer
Who was the producer of Star?,Biddu,"[""Biddu"", ""Biddu Appaiah""]",producer
Who was the producer of Revelations?,Tony Gayton,"[""Tony Gayton""]",producer
Who was the producer of Apache?,Burt Lancaster,"[""Burt Lancaster"", ""Burton Stephen Lancaster"", ""Burton Lancaster""]",producer
Who was the producer of The Other Side?,Sully Erna,"[""Sully Erna"", ""Salvatore Paul Erna Jr.""]",producer
Who was the producer of Perfect Day?,David Bowie,"[""David Bowie"", ""David Robert Jones"", ""David Jones"", ""Bowie"", ""Davy Jones"", ""Thin White Duke"", ""Halloween Jack""]",producer
Who was the producer of Friday the 13th Part 2?,Steve Miner,"[""Steve Miner""]",producer
Who was the producer of Open Season?,Steve Moore,"[""Steve Moore""]",producer
Who was the producer of Recess?,Skrillex,"[""Skrillex"", ""Sonny Moore"", ""Sonny John Moore"", ""Sonny""]",producer
Who was the producer of The Terror?,Roger Corman,"[""Roger Corman"", ""Roger William Corman""]",producer
Who was the producer of The Circle?,Jafar Panahi,"[""Jafar Panahi""]",producer
Who was the producer of Everyone Else?,Maren Ade,"[""Maren Ade""]",producer
Who was the producer of August?,Eric Clapton,"[""Eric Clapton"", ""Eric Patrick Clapton"", ""Slowhand""]",producer
Who was the producer of Human Nature?,Charlie Kaufman,"[""Charlie Kaufman"", ""Charles Stuart Kaufman""]",producer
Who was the producer of Year One?,Harold Ramis,"[""Harold Ramis"", ""Harold Allen Ramis"", ""Judd Apatow""]",producer
Who was the producer of The Assault?,Fons Rademakers,"[""Fons Rademakers""]",producer
Who was the producer of Animal House?,Ivan Reitman,"[""Ivan Reitman"", ""Matty Simmons"", ""Martin Gerald Simmons""]",producer
Who was the producer of Setup?,50 Cent,"[""50 Cent"", ""Curtis Jackson"", ""Curtis James Jackson"", ""Curtis James Jackson III""]",producer
Who was the producer of My Trip Back to the Dark Side?,Shane Stanley,"[""Shane Stanley""]",producer
Who was the producer of The List?,Beth Murphy,"[""Beth Murphy""]",producer
Who was the producer of Shaft?,John Singleton,"[""John Singleton"", ""John Daniel Singleton""]",producer
Who was the producer of Little Man?,Marlon Wayans,"[""Marlon Wayans"", ""Marlon Lamont Wayans"", ""Keenen Ivory Wayans"", ""Keenen Ivory Desuma Wayans Sr."", ""Keenen Ivory Desuma Wayans"", ""Shawn Wayans nemo"", ""Shawn Mathis Wayans amigo"", ""Shawn Mathis Wayans""]",producer
Who was the producer of The Message?,Chen Kuo-Fu,"[""Chen Kuo-Fu""]",producer
Who was the producer of The Cruise?,Bennett Miller,"[""Bennett Miller""]",producer
Who was the producer of In Your Mind?,Bryan Ferry,"[""Bryan Ferry""]",producer
Who was the producer of Primary?,Robert Drew,"[""Robert Drew"", ""Robert Lincoln Drew""]",producer
Who was the producer of Here?,Adrian Belew,"[""Adrian Belew"", ""Robert Steven Belew""]",producer
Who was the producer of Room at the Top?,John and James Woolf,"[""John and James Woolf""]",producer
Who was the producer of Trauma?,Dario Argento,"[""Dario Argento"", ""Sirio Bernadotte""]",producer
Who was the producer of Alive?,G-Dragon,"[""G-Dragon"", ""G-Dragon tu patron""]",producer
Who was the producer of September?,John Polson,"[""John Polson""]",producer
Who was the producer of Western Jamboree?,Smiley Burnette,"[""Smiley Burnette"", ""Lester Alvin Burnett"", ""Gene Autry"", ""Orvon Grover Autry"", ""Orvon Gene Autry"", ""Jean Rouverol"", ""Jean Rouverol Butler""]",producer
Who was the producer of When in Rome?,Clarence Brown,"[""Clarence Brown"", ""Clarence Leon Brown""]",producer
Who was the producer of Ray?,Taylor Hackford,"[""Taylor Hackford"", ""Taylor Edwin Hackford""]",producer
Who was the producer of Game?,Farhan Akhtar,"[""Farhan Akhtar"", ""Ritesh Sidhwani""]",producer
Who was the producer of Resident Evil 2?,Shinji Mikami,"[""Shinji Mikami""]",producer
Who was the producer of 31?,Rob Zombie,"[""Rob Zombie"", ""Robert Bartleh Cummings"", ""Rob Straker""]",producer
Who was the producer of The Spoilers?,Edwin Carewe,"[""Edwin Carewe"", ""Bartlett Cormack"", ""Edward Bartlett Cormack""]",producer
Who was the producer of Albert Schweitzer?,Jerome Hill,"[""Jerome Hill"", ""James Jerome Hill"", ""Jérôme Hill"", ""James Jerome Hill II""]",producer
Who was the producer of Home?,Carrie Akre,"[""Carrie Akre""]",producer
Who was the producer of Final Destination?,Glen Morgan,"[""Glen Morgan""]",producer
Who was the producer of Butterfly?,Yan Yan Mak,"[""Yan Yan Mak""]",producer
Who was the producer of Do the Right Thing?,Spike Lee,"[""Spike Lee"", ""Sheldon Lee"", ""Shelton J. Lee"", ""Shelton Jackson Lee"", ""Mars Blackmon""]",producer
Who was the producer of Below?,Darren Aronofsky,"[""Darren Aronofsky""]",producer
Who was the producer of On the Beach?,Stanley Kramer,"[""Stanley Kramer"", ""Stanley Earl Kramer""]",producer
Who was the producer of The Count?,Charlie Chaplin,"[""Charlie Chaplin"", ""Charles Spencer Chaplin"", ""Charles Chaplin"", ""Sir Charles Spencer Chaplin""]",producer
Who was the producer of Saw II?,Gregg Hoffman,"[""Gregg Hoffman"", ""Oren Koules"", ""Mark Burg"", ""Leigh Whannell""]",producer
Who was the producer of The Dove?,Norma Talmadge,"[""Norma Talmadge"", ""Norma Marie Talmadge""]",producer
Who was the producer of Flesh?,Andy Warhol,"[""Andy Warhol"", ""Andrew Warhola"", ""Andrew Warhol"", ""Drella"", ""Andrej Varchol"", ""Andrej Warhol""]",producer
Who was the producer of On the Border?,Bill Szymczyk,"[""Bill Szymczyk"", ""Glyn Johns"", ""Glyn Thomas Johns""]",producer
Who was the producer of Gorgeous?,Jackie Chan,"[""Jackie Chan"", ""Cheng Lung"", ""Sing Lung"", ""Y'uen Lo"", ""Pao Pao"", ""Kong-sang Chan"", ""Kung-Fu Master"", ""Yuan-Lou Chen"", ""Yuan Lung Chen"", ""Yuen Lung Chen"", ""Chen Yuan Lung"", ""Chen Yuen Lung"", ""Jacky Chan"", ""Chen Yuan-lung"", ""Lung Cheng"", ""Chen Lung"", ""Chan Kong-sang""]",producer
Who was the producer of New York?,Lou Reed,"[""Lou Reed"", ""Lewis Allen Reed"", ""Lewis Allan Reed""]",producer
Who was the producer of Waterworld?,Kevin Costner,"[""Kevin Costner"", ""Kevin Michael Costner""]",producer
Who was the producer of Through the Dark?,William Randolph Hearst,"[""William Randolph Hearst"", ""w.m r. hearst"", ""Wiliam R. Hearst"", ""william r. hearst"", ""w.r. hearst"", ""wm r. hearst"", ""wm. r. hearst""]",producer
Who was the producer of A Good Man?,Steven Seagal,"[""Steven Seagal"", ""Steven Frederic Seagal"", ""Steven Frederick Seagal""]",producer
Who was the producer of 18?,Moby,"[""Moby"", ""Richard Melville Hall"", ""Voodoo Child"", ""Barracuda"", ""Brainstorm"", ""Schaumgummi"", ""Pippy Baliunas"", ""UHF"", ""Elizabeth McBride""]",producer
Who was the producer of Interview?,Theo van Gogh,"[""Theo van Gogh""]",producer
Who was the producer of The Turning Point?,Nora Kaye,"[""Nora Kaye"", ""Nora Koreff"", ""Arthur Laurents"", ""Herbert Ross"", ""Herbert David Ross""]",producer
Who was the producer of The Rock?,Jerry Bruckheimer,"[""Jerry Bruckheimer"", ""Jerome Leon Bruckheimer"", ""Don Simpson"", ""Donald Clarence Simpson"", ""Donald Clarence \""Don\"" Simpson""]",producer
Who was the producer of The Lives of Others?,Florian Henckel von Donnersmarck,"[""Florian Henckel von Donnersmarck""]",producer
Who was the producer of First Love?,Henry Koster,"[""Henry Koster""]",producer
Who was the producer of October 1?,Kunle Afolayan,"[""Kunle Afolayan""]",producer
Who was the producer of I Am?,Todd Zeile,"[""Todd Zeile"", ""Todd Edward Zeile""]",producer
Who was the producer of Five?,Arch Oboler,"[""Arch Oboler""]",producer
Who was the producer of 1983... (A Merman I Should Turn to Be)?,Jimi Hendrix,"[""Jimi Hendrix"", ""Johnny Allen Hendrix"", ""James Marshall Hendrix"", ""Hendrix""]",producer
Who was the producer of Chase?,Anuj Saxena,"[""Anuj Saxena""]",producer
Who was the producer of Romance?,Clarence Brown,"[""Clarence Brown"", ""Clarence Leon Brown""]",producer
Who was the producer of The Man Without Desire?,Miles Mander,"[""Miles Mander"", ""Lionel Henry Mander"", ""Ivor Novello"", ""David Ivor Davies""]",producer
Who was the producer of The Test?,Harry S. Webb,"[""Harry S. Webb""]",producer
Who was the producer of On Any Sunday?,Steve McQueen,"[""Steve McQueen"", ""King of Cool"", ""Terrence Stephen McQueen""]",producer
Who was the producer of Caribbean Sunset?,John Cale,"[""John Cale"", ""John Davies Cale"", ""00033982178 IPI""]",producer
Who was the producer of One Love?,David Guetta,"[""David Guetta"", ""Pierre David Guetta"", ""Jack Back""]",producer
Who was the producer of Trash?,Andy Warhol,"[""Andy Warhol"", ""Andrew Warhola"", ""Andrew Warhol"", ""Drella"", ""Andrej Varchol"", ""Andrej Warhol""]",producer
